#N;S_wide;rel_err_wide;S_narrow;rel_err_narrow
89100;0.9426434626;0.0019837896;0.9467797980;0.0023955224
89600;0.9515974590;0.0074961824;0.9507375000;0.0065857077
90100;0.9637970960;0.0204124503;0.9461966704;0.0017781407
90600;0.9481765265;0.0038742975;0.9455364238;0.0010791100
91100;0.9454270299;0.0009632901;0.9429708013;0.0016372223
91600;0.9463162028;0.0019046947;0.9440017467;0.0005457171
92100;0.9584907109;0.0147943576;0.9443022801;0.0002275298
92600;0.9585648085;0.0148728079;0.9467300216;0.0023428221
93100;0.9429740889;0.0016337416;0.9429447905;0.0016647610
93600;0.9553868217;0.0115081398;0.9441076923;0.0004335481
94100;0.9420450121;0.0026173942;0.9419681190;0.0026988041
94600;0.9523787938;0.0083234144;0.9456507400;0.0012001413
95100;0.9554477669;0.0115726651;0.9475533123;0.0032144745
95600;0.9432302404;0.0013625432;0.9436820084;0.0008842375
96100;0.9349841883;0.0100929848;0.9438368366;0.0007203143
96600;0.9318556605;0.0134052885;0.9453167702;0.0008465535
97100;0.9495853491;0.0053658772;0.9428811535;0.0017321362
97600;0.9504981689;0.0063323178;0.9425508197;0.0020818745
98100;0.9383199105;0.0065613156;0.9455559633;0.0010997972
98600;0.9429288655;0.0016816215;0.9434336714;0.0011471623
99100;0.9411145330;0.0036025315;0.9456484359;0.0011977019
99600;0.9369757333;0.0079844525;0.9398891566;0.0048998889
